location,date,new_cases,new_deaths,positive_test_rate,total_vaccinations,people_fully_vaccinated
Iran,2/19/2020,2,2,0.1829,0,0
Iran,2/20/2020,3,0,0.1829,0,0
Iran,2/21/2020,13,2,0.1829,0,0
Iran,2/22/2020,10,1,0.1829,0,0
Iran,2/23/2020,15,3,0.1829,0,0
Iran,2/24/2020,18,4,0.1829,0,0
Iran,2/25/2020,34,4,0.1829,0,0
Iran,2/26/2020,44,3,0.1829,0,0
Iran,2/27/2020,106,7,0.1829,0,0
Iran,2/28/2020,143,8,0.1829,0,0
Iran,2/29/2020,205,9,0.1829,0,0
Iran,3/1/2020,385,11,0.1829,0,0
Iran,3/2/2020,523,12,0.1829,0,0
Iran,3/3/2020,835,11,0.1829,0,0
Iran,3/4/2020,586,15,0.1829,0,0
Iran,3/5/2020,591,15,0.1829,0,0
Iran,3/6/2020,1234,17,0.1829,0,0
Iran,3/7/2020,1076,21,0.1829,0,0
Iran,3/8/2020,743,49,0.1829,0,0
Iran,3/9/2020,595,43,0.1829,0,0
Iran,3/10/2020,881,54,0.1829,0,0
Iran,3/11/2020,958,63,0.1829,0,0
Iran,3/12/2020,1075,75,0.1829,0,0
Iran,3/13/2020,1289,85,0.1829,0,0
Iran,3/14/2020,1365,97,0.1829,0,0
Iran,3/15/2020,1209,113,0.1829,0,0
Iran,3/16/2020,1053,129,0.1829,0,0
Iran,3/17/2020,1178,135,0.1829,0,0
Iran,3/18/2020,1192,147,0.1829,0,0
Iran,3/19/2020,1046,149,0.1829,0,0
Iran,3/20/2020,1237,149,0.1829,0,0
Iran,3/21/2020,966,123,0.1829,0,0
Iran,3/22/2020,1028,129,0.1829,0,0
Iran,3/23/2020,1411,127,0.1829,0,0
Iran,3/24/2020,1762,122,0.1829,0,0
Iran,3/25/2020,2206,143,0.1829,0,0
Iran,3/26/2020,2389,157,0.1829,0,0
Iran,3/27/2020,2926,144,0.1829,0,0
Iran,3/28/2020,3076,139,0.1829,0,0
Iran,3/29/2020,2901,123,0.1829,0,0
Iran,3/30/2020,3186,117,0.1829,0,0
Iran,3/31/2020,3110,141,0.1829,0,0
Iran,4/1/2020,2988,138,0.1829,0,0
Iran,4/2/2020,2875,124,0.1829,0,0
Iran,4/3/2020,2715,134,0.1829,0,0
Iran,4/4/2020,2560,158,0.1829,0,0
Iran,4/5/2020,2483,151,0.1829,0,0
Iran,4/6/2020,2274,136,0.1829,0,0
Iran,4/7/2020,2089,133,0.1829,0,0
Iran,4/8/2020,1997,121,0.1829,0,0
Iran,4/9/2020,1634,117,0.1829,0,0
Iran,4/10/2020,1972,122,0.1829,0,0
Iran,4/11/2020,1837,125,0.1829,0,0
Iran,4/12/2020,1657,117,0.1829,0,0
Iran,4/13/2020,1617,111,0.1703,0,0
Iran,4/14/2020,1574,98,0.1601,0,0
