new_cases,positive_test_rate,total_vaccinations,people_fully_vaccinated,new_deaths
2,0.1829,0,0,2
3,0.1829,0,0,0
13,0.1829,0,0,2
10,0.1829,0,0,1
15,0.1829,0,0,3
18,0.1829,0,0,4
34,0.1829,0,0,4
44,0.1829,0,0,3
106,0.1829,0,0,7
143,0.1829,0,0,8
205,0.1829,0,0,9
385,0.1829,0,0,11
523,0.1829,0,0,12
835,0.1829,0,0,11
586,0.1829,0,0,15
591,0.1829,0,0,15
1234,0.1829,0,0,17
1076,0.1829,0,0,21
743,0.1829,0,0,49
595,0.1829,0,0,43
881,0.1829,0,0,54
958,0.1829,0,0,63
1075,0.1829,0,0,75
1289,0.1829,0,0,85
1365,0.1829,0,0,97
1209,0.1829,0,0,113
1053,0.1829,0,0,129
1178,0.1829,0,0,135
1192,0.1829,0,0,147
1046,0.1829,0,0,149
1237,0.1829,0,0,149
966,0.1829,0,0,123
1028,0.1829,0,0,129
1411,0.1829,0,0,127
1762,0.1829,0,0,122
2206,0.1829,0,0,143
2389,0.1829,0,0,157
2926,0.1829,0,0,144
3076,0.1829,0,0,139
2901,0.1829,0,0,123
3186,0.1829,0,0,117
3110,0.1829,0,0,141
2988,0.1829,0,0,138
2875,0.1829,0,0,124
2715,0.1829,0,0,134
2560,0.1829,0,0,158
2483,0.1829,0,0,151
2274,0.1829,0,0,136
2089,0.1829,0,0,133
1997,0.1829,0,0,121
1634,0.1829,0,0,117
1972,0.1829,0,0,122
1837,0.1829,0,0,125
1657,0.1829,0,0,117
1617,0.1703,0,0,111
1574,0.1601,0,0,98
1512,0.1509,0,0,94
1606,0.1492,0,0,92
1499,0.1462,0,0,89
1374,0.1382,0,0,73
1343,0.1345,0,0,87
1294,0.1314,0,0,91
1297,0.1267,0,0,88
1194,0.1225,0,0,94
1030,0.1141,0,0,90
1168,0.1087,0,0,93
1134,0.1058,0,0,76
1153,0.1038,0,0,60
991,0.1004,0,0,96
1112,0.1009,0,0,71
1073,0.1011,0,0,80
983,0.1032,0,0,71
1006,0.0992,0,0,63
802,0.0956,0,0,65
976,0.0926,0,0,47
1223,0.0945,0,0,74
1323,0.0963,0,0,63
1680,0.1026,0,0,78
1485,0.1042,0,0,68
1556,0.1078,0,0,55
1529,0.1107,0,0,48
1383,0.1126,0,0,51
1683,0.1146,0,0,45
1481,0.1125,0,0,48
1958,0.1127,0,0,50
1808,0.1152,0,0,71
2102,0.1198,0,0,48
1757,0.1219,0,0,35
1806,0.1257,0,0,51
2294,0.1313,0,0,69
2111,0.1374,0,0,62
2346,0.1399,0,0,64
2392,0.1448,0,0,66
2311,0.1426,0,0,51
1869,0.1393,0,0,59
2180,0.1365,0,0,58
2023,0.1299,0,0,34
1787,0.1233,0,0,57
2080,0.1168,0,0,56
2258,0.1112,0,0,63
2819,0.1132,0,0,50
2282,0.1145,0,0,57
2516,0.1165,0,0,63
2979,0.1221,0,0,81
3117,0.13,0,0,64
3134,0.136,0,0,70
3574,0.143,0,0,59
2886,0.1426,0,0,63
2269,0.1421,0,0,75
2364,0.1364,0,0,72
2043,0.1285,0,0,70
2095,0.1203,0,0,74
2011,0.1119,0,0,81
2218,0.1027,0,0,78
2369,0.0981,0,0,75
2430,0.0975,0,0,71
2472,0.0982,0,0,107
2449,0.0988,0,0,113
2563,0.1001,0,0,115
2612,0.1013,0,0,120
2596,0.1025,0,0,87
2615,0.1021,0,0,120
2322,0.1,0,0,115
2368,0.0983,0,0,116
2573,0.0979,0,0,119
2445,0.0965,0,0,121
2531,0.0956,0,0,133
2595,0.0939,0,0,134
2628,0.0933,0,0,109
2456,0.0937,0,0,125
2489,0.094,0,0,144
2536,0.0932,0,0,162
2457,0.0927,0,0,147
2549,0.0929,0,0,141
2652,0.0942,0,0,148
2566,0.0946,0,0,154
2449,0.0952,0,0,148
2560,0.0966,0,0,163
2613,0.0986,0,0,160
2637,0.0998,0,0,200
2691,0.1014,0,0,153
2079,0.0985,0,0,221
2262,0.0974,0,0,142
2397,0.0971,0,0,188
2186,0.095,0,0,194
2349,0.0933,0,0,203
2521,0.0935,0,0,179
2388,0.0921,0,0,199
2500,0.0943,0,0,198
2379,0.0947,0,0,183
2166,0.0935,0,0,188
2182,0.0932,0,0,209
2414,0.0934,0,0,217
2625,0.0931,0,0,229
2586,0.0935,0,0,219
2621,0.0941,0,0,221
2489,0.0952,0,0,215
2316,0.0956,0,0,195
2333,0.0964,0,0,216
2434,0.097,0,0,212
2667,0.0979,0,0,235
2636,0.0985,0,0,196
2621,0.0987,0,0,226
2674,0.099,0,0,197
2548,0.1002,0,0,216
2685,0.1019,0,0,208
2598,0.1024,0,0,215
