New Cases,New Deaths,Positive Test Rate
95,16,0.1829
2241,61,0.1829
5706,214,0.1829
8127,697,0.1829
8642,946,0.1829
19794,964,0.1829
17984,974,0.1829
12288,811,0.177842857
9925,614,0.139585714
7782,580,0.108028571
7386,463,0.0975
10797,393,0.109285714
13836,386,0.123428571
14908,389,0.136614286
18051,434,0.117757143
18365,483,0.135557143
16512,640,0.101042857
17531,798,0.0998
17692,954,0.093771429
18026,1114,0.095985714
16485,1280,0.0966
16654,1423,0.093471429
17446,1513,0.095671429
18513,1470,0.100485714
16403,1183,0.098828571
16646,1172,0.093357143
15528,929,0.090857143
13531,771,0.085542857
14218,870,0.0772
16241,911,0.085857143
21840,1203,0.103714286
24444,1330,0.134728571
26188,1433,0.147457143
28564,1651,0.131585714
31281,1964,0.153614286
42154,2265,0.1858
55888,2861,0.216485714
65576,3042,0.223957143
85185,3259,0.276714286
92069,3277,0.318928571
95409,2890,0.3225
86446,2289,0.303971429
61077,1753,0.234542857
47269,1333,0.157928571
41738,943,0.116742857
43139,802,0.115385714
43402,612,0.114785714
43112,613,0.1168
43572,587,0.1137
45710,550,0.117642857
49980,515,0.125314286
52638,492,0.135257143
56571,546,0.140085714
57569,604,0.140628571
58385,600,0.138442857
56754,560,0.131171429
52399,524,0.121771429
59522,618,0.120428571
88160,937,0.151885714
154818,1549,0.2262
168715,2470,0.241128571
151266,3007,0.202757143
137544,2687,0.159614286
115615,2349,0.129128571
88063,1964,0.106071429
75981,1524,0.088485714
68427,1271,0.080057143
56293,1035,0.0736
69532,989,0.070085714
67688,866,0.076557143
75473,910,0.083557143
94114,968,0.123114286
130106,1112,0.206828571
159119,1417,0.275142857
182049,1855,0.336757143
221530,2306,0.460214286
258949,3326,0.500628571
278567,3997,0.399028571
239151,4249,0.368771429
235669,4437,0.317757143
192061,4098,0.265257143
156532,3275,0.219785714
119140,2738,0.172642857
99895,1983,0.144771429
92270,1675,0.122414286
77824,1518,0.111414286
80182,1342,0.107357143
67489,1096,0.099871429
67143,1097,0.087457143
59861,935,0.083257143
47182,855,0.067857143
36367,771,0.057128571
29436,653,0.041
23890,526,0.034542857
18968,475,0.028042857
15479,336,0.023042857
13075,307,0.019442857
11439,262,0.017728571
10002,204,0.015157143
17551,173,0.023714286
39710,161,0.0444
140685,230,0.131928571
249598,544,0.310771429
202413,1005,0.343471429
123380,1446,0.255828571
