Last Week Cases,Last Week Positive Test Rate,This Week Deaths
95,0.1829,61
2241,0.1829,214
5706,0.1829,697
8127,0.1829,946
8642,0.1829,964
19794,0.1829,974
17984,0.1829,811
12288,0.177842857,614
9925,0.139585714,580
7782,0.108028571,463
7386,0.0975,393
10797,0.109285714,386
13836,0.123428571,389
14908,0.136614286,434
18051,0.117757143,483
18365,0.135557143,640
16512,0.101042857,798
17531,0.0998,954
17692,0.093771429,1114
18026,0.095985714,1280
16485,0.0966,1423
16654,0.093471429,1513
17446,0.095671429,1470
18513,0.100485714,1183
16403,0.098828571,1172
16646,0.093357143,929
15528,0.090857143,771
13531,0.085542857,870
14218,0.0772,911
16241,0.085857143,1203
21840,0.103714286,1330
24444,0.134728571,1433
26188,0.147457143,1651
28564,0.131585714,1964
31281,0.153614286,2265
42154,0.1858,2861
55888,0.216485714,3042
65576,0.223957143,3259
85185,0.276714286,3277
92069,0.318928571,2890
95409,0.3225,2289
86446,0.303971429,1753
61077,0.234542857,1333
47269,0.157928571,943
41738,0.116742857,802
43139,0.115385714,612
43402,0.114785714,613
43112,0.1168,587
43572,0.1137,550
45710,0.117642857,515
49980,0.125314286,492
52638,0.135257143,546
56571,0.140085714,604
57569,0.140628571,600
58385,0.138442857,560
56754,0.131171429,524
52399,0.121771429,618
59522,0.120428571,937
88160,0.151885714,1549
154818,0.2262,2470
168715,0.241128571,3007
151266,0.202757143,2687
137544,0.159614286,2349
115615,0.129128571,1964
88063,0.106071429,1524
75981,0.088485714,1271
68427,0.080057143,1035
56293,0.0736,989
69532,0.070085714,866
67688,0.076557143,910
75473,0.083557143,968
94114,0.123114286,1112
130106,0.206828571,1417
159119,0.275142857,1855
182049,0.336757143,2306
221530,0.460214286,3326
258949,0.500628571,3997
278567,0.399028571,4249
239151,0.368771429,4437
235669,0.317757143,4098
192061,0.265257143,3275
156532,0.219785714,2738
119140,0.172642857,1983
99895,0.144771429,1675
92270,0.122414286,1518
77824,0.111414286,1342
80182,0.107357143,1096
67489,0.099871429,1097
67143,0.087457143,935
59861,0.083257143,855
47182,0.067857143,771
36367,0.057128571,653
29436,0.041,526
23890,0.034542857,475
18968,0.028042857,336
15479,0.023042857,307
13075,0.019442857,262
11439,0.017728571,204
10002,0.015157143,173
17551,0.023714286,161
39710,0.0444,230
140685,0.131928571,544
249598,0.310771429,1005
202413,0.343471429,1446
123380,0.255828571,1339
