Temperature (C),Pressure (millibars),Humidity,Wind Speed (km/h),Apparent Temperature (C)
9.472222222,1015.13,0.89,14.1197,7.388888889
9.355555556,1015.63,0.86,14.2646,7.227777778
9.377777778,1015.94,0.89,3.9284,9.377777778
8.288888889,1016.41,0.83,14.1036,5.944444444
8.755555556,1016.51,0.83,11.0446,6.977777778
9.222222222,1016.66,0.85,13.9587,7.111111111
7.733333333,1016.72,0.95,12.3648,5.522222222
8.772222222,1016.84,0.89,14.1519,6.527777778
10.82222222,1017.37,0.82,11.3183,10.82222222
13.77222222,1017.22,0.72,12.5258,13.77222222
16.01666667,1017.42,0.67,17.5651,16.01666667
17.14444444,1017.74,0.54,19.7869,17.14444444
17.8,1017.59,0.55,21.9443,17.8
17.33333333,1017.48,0.51,20.6885,17.33333333
18.87777778,1017.17,0.47,15.3755,18.87777778
18.91111111,1016.47,0.46,10.4006,18.91111111
15.38888889,1016.15,0.6,14.4095,15.38888889
15.55,1016.17,0.63,11.1573,15.55
14.25555556,1015.82,0.69,8.5169,14.25555556
13.14444444,1015.83,0.7,7.6314,13.14444444
11.55,1015.85,0.77,7.3899,11.55
11.18333333,1015.77,0.76,4.9266,11.18333333
10.11666667,1015.4,0.79,6.6493,10.11666667
10.2,1015.51,0.77,3.9284,10.2
10.42222222,1014.4,0.62,16.9855,10.42222222
9.911111111,1014.2,0.66,17.2109,7.566666667
11.18333333,1008.71,0.8,10.8192,11.18333333
7.155555556,1014.47,0.79,11.0768,5.044444444
6.111111111,1014.45,0.82,6.6493,4.816666667
6.788888889,1014.49,0.83,13.0088,4.272222222
7.261111111,1014.52,0.85,11.1734,5.155555556
7.8,1014.16,0.83,12.8156,5.527777778
9.872222222,1014.24,0.78,13.7494,7.933333333
12.22222222,1014.25,0.72,15.6331,12.22222222
15.09444444,1013.96,0.61,17.549,15.09444444
17.35555556,1013.85,0.52,22.7815,17.35555556
19.00555556,1013.04,0.46,23.8924,19.00555556
20.04444444,1012.22,0.4,28.3682,20.04444444
21.05,1011.44,0.4,26.9031,21.05
21.18333333,1010.52,0.37,25.6956,21.18333333
20.11666667,1009.83,0.4,25.3092,20.11666667
20.21666667,1009.26,0.36,18.1125,20.21666667
20,1008.76,0.43,23.4255,20
17.8,1008.36,0.5,20.0445,17.8
16.06111111,1008.11,0.53,21.3969,16.06111111
15.02222222,1008.15,0.55,21.3808,15.02222222
14.42222222,1007.85,0.58,20.0123,14.42222222
14.25555556,1007.89,0.59,16.5025,14.25555556
13.77222222,1007.36,0.6,17.0982,13.77222222
13.28333333,1007.26,0.63,14.3612,13.28333333
8.633333333,1005.1,0.87,22.0409,5.466666667
11.25,1007.01,0.83,11.3344,11.25
11.18333333,1006.73,0.89,11.2056,11.18333333
10.69444444,1006.59,0.95,10.4006,10.69444444
11.11111111,1006.34,0.93,12.0106,11.11111111
11.11111111,1006.09,0.93,9.2092,11.11111111
12.16666667,1005.97,0.82,9.9015,12.16666667
12.75555556,1005.63,0.79,13.8299,12.75555556
13.83888889,1005.83,0.84,9.0965,13.83888889
16.18333333,1005.97,0.73,0.644,16.18333333
17.51666667,1005.64,0.67,0.6762,17.51666667
17.38333333,1005.2,0.67,3.864,17.38333333
17.36111111,1005.1,0.71,7.8246,17.36111111
17.20555556,1004.65,0.74,15.5848,17.20555556
15.63333333,1004.04,0.81,23.6992,15.63333333
13.57777778,1004.08,0.9,20.9622,13.57777778
10.91111111,1004.61,0.86,22.3951,10.91111111
8.8,1004.99,0.99,26.5006,5.294444444
8.961111111,1004.85,0.93,23.2162,5.777777778
8.2,1004.96,0.96,25.4219,4.605555556
7.688888889,1005.14,0.96,28.1267,3.722222222
7.766666667,1005.05,0.96,19.2878,4.65
8.2,1004.8,0.96,20.447,5.072222222
8.177777778,1004.89,0.93,27.8691,4.372222222
7.311111111,1007,0.82,6.7459,6.183333333
7.644444444,1004.3,0.93,14.9086,5.038888889
6.622222222,1003.68,0.93,25.0355,2.616666667
6.683333333,1003.86,0.93,19.8352,3.222222222
6.088888889,1003.57,0.93,28.0945,1.65
6.066666667,1003.96,0.93,27.9818,1.633333333
6.144444444,1004.1,0.93,30.8637,1.494444444
7.133333333,1004.26,0.8,32.1678,2.688888889
7.205555556,1004.18,0.86,26.5328,3.233333333
7.566666667,1004.23,0.84,28.336,3.544444444
8.9,1004.47,0.77,29.8333,5.161111111
9.961111111,1004.52,0.71,28.4809,6.644444444
9.888888889,1004.29,0.71,28.5131,6.55
11.06666667,1003.93,0.71,25.6956,11.06666667
10.11666667,1004,0.76,25.3414,10.11666667
11.03888889,1004.3,0.66,21.413,11.03888889
10.65,1004,0.7,17.8549,10.65
10.05,1004.39,0.7,15.1984,10.05
9.9,1005.48,0.66,15.7297,7.716666667
8.794444444,1005.89,0.71,12.3648,6.816666667
7.827777778,1006.37,0.72,13.8943,5.405555556
7.855555556,1006.56,0.72,9.8049,6.122222222
7.316666667,1007.07,0.75,6.6654,6.211111111
7.244444444,1007.37,0.75,7.1162,6.005555556
5.438888889,1012.23,0.88,3.7191,5.438888889
7.2,1007.28,0.76,14.4739,4.55
6.688888889,1007.18,0.7,20.5275,3.161111111
6.211111111,1007.39,0.73,19.3039,2.694444444
6.111111111,1007.67,0.76,17.4363,2.8
6.111111111,1007.98,0.76,20.4148,2.438888889
6.172222222,1008.57,0.76,17.0499,2.922222222
7.222222222,1008.87,0.71,20.5114,3.833333333
7.288888889,1009.44,0.73,17.6456,4.244444444
7.405555556,1010.03,0.72,14.4095,4.816666667
7.961111111,1010.22,0.7,10.7548,6.072222222
8.033333333,1010.39,0.7,4.8622,7.583333333
9.077777778,1010.24,0.65,2.3828,9.077777778
9.05,1010,0.62,0.322,9.05
9.05,1009.98,0.65,3.2522,9.05
9.183333333,1010.05,0.65,3.0107,9.183333333
9.072222222,1010.1,0.7,10.465,7.455555556
7.983333333,1010.39,0.75,7.3416,6.811111111
8.072222222,1010.91,0.75,9.5151,6.433333333
7.894444444,1011.32,0.82,9.9981,6.127777778
7.311111111,1011.61,0.83,13.685,4.805555556
7.338888889,1011.97,0.84,11.5437,5.183333333
6.622222222,1012.22,0.85,12.719,4.111111111
6.066666667,1012.74,0.88,12.8961,3.411111111
8.338888889,1015.35,0.88,0.6923,8.338888889
5.183333333,1013.29,0.91,5.5384,4.111111111
3.722222222,1013.39,0.94,5.2003,2.566666667
4.855555556,1013.45,0.93,5.6189,3.705555556
5.211111111,1013.4,0.92,4.7656,5.211111111
6.255555556,1013.81,0.92,7.9212,4.638888889
7.794444444,1014.7,0.87,9.7566,6.055555556
10.05,1014.67,0.76,9.6922,10.05
12.2,1014.66,0.66,14.49,12.2
12.7,1014.8,0.63,20.3343,12.7
13.93333333,1014.47,0.58,23.5865,13.93333333
15.09444444,1014.16,0.59,22.2985,15.09444444
15.15,1014.07,0.5,14.7154,15.15
16.17777778,1013.34,0.44,14.49,16.17777778
16.25,1012.72,0.55,14.7154,16.25
16.29444444,1012.38,0.5,19.5937,16.29444444
16.1,1012.38,0.56,14.8281,16.1
12.95555556,1012.72,0.68,11.9784,12.95555556
13.85,1013.42,0.64,11.5598,13.85
12.77777778,1014.41,0.69,14.2485,12.77777778
12.15,1014.89,0.72,11.2539,12.15
10.67777778,1014.91,0.81,5.7799,10.67777778
10.44444444,1014.75,0.83,2.6404,10.44444444
9.822222222,1015.55,0.8,5.313,9.466666667
11.02777778,1015.7,0.74,11.3827,11.02777778
7.138888889,1016.43,0.93,3.6547,7.138888889
7.622222222,1016.56,0.89,10.8675,5.644444444
7.627777778,1017.15,0.86,6.5205,6.611111111
7.044444444,1017.37,0.86,11.3988,4.855555556
8.6,1018.25,0.84,9.66,7.038888889
9.65,1019.24,0.84,15.9551,7.383333333
12.10555556,1019.83,0.72,13.1698,12.10555556
12.77777778,1020.51,0.71,13.1698,12.77777778
13.81111111,1020.91,0.65,9.6761,13.81111111
16.01666667,1020.6,0.48,11.2378,16.01666667
17.12777778,1020.39,0.47,12.7029,17.12777778
17.14444444,1020.34,0.43,10.6099,17.14444444
17.77777778,1019.7,0.4,7.9534,17.77777778
17.77777778,1018.89,0.37,2.5921,17.77777778
17.80555556,1018.48,0.43,11.0124,17.80555556
16.15555556,1017.87,0.52,9.1931,16.15555556
14.05,1017.56,0.63,9.1609,14.05
13.08888889,1017.38,0.67,9.2736,13.08888889
12.28888889,1017.58,0.72,9.4507,12.28888889
12.77777778,1017.65,0.66,11.0768,12.77777778
12.72777778,1017.36,0.67,13.3791,12.72777778
12.26666667,1016.8,0.69,14.1358,12.26666667
11.71111111,1016.64,0.71,11.3183,11.71111111
10.82777778,1013.13,0.86,9.177,10.82777778
12.2,1014.79,0.59,14.168,12.2
12.2,1014.25,0.6,14.2968,12.2
11.68888889,1013.95,0.68,13.8299,11.68888889
11.20555556,1013.63,0.77,14.007,11.20555556
11.13333333,1013.27,0.77,15.4882,11.13333333
